"ticker","year","sen"
IDJ,2010,0.0
KHL,2010,0.0
IDI,2010,0.0
KHP,2010,0.0
KHS,2010,0.0
IDV,2010,0.0
C92,2010,0.0
BWS,2010,0.0
BXH,2010,0.0
KIP,2010,0.0
GAS,2010,0.0
SZB,2010,0.0
SZC,2010,0.0
MNB,2010,0.0
SZL,2010,0.0
IFS,2010,0.0
XDH,2010,0.0
KKC,2010,0.0
GCB,2010,0.0
MPC,2010,0.0
IHK,2010,0.0
GDT,2010,0.0
VBC,2010,0.0
GDW,2010,0.0
VBH,2010,0.0
VC2,2010,0.0
VC1,2010,0.0
VC3,2010,0.0
GEG,2010,0.0
VC6,2010,0.0
VC5,2010,0.0
VC7,2010,0.0
VC9,2010,0.0
KMR,2010,0.0
KMT,2010,0.0
GER,2010,0.0
VCA,2010,0.0
VCC,2010,0.0
VCF,2010,0.0
VCG,2010,0.0
VCM,2010,0.0
IJC,2010,0.0
VCR,2010,0.0
VCT,2010,0.0
VCS,2010,0.0
VCX,2010,0.0
VCW,2010,0.0
EBS,2010,0.0
VDL,2010,0.0
VDN,2010,0.0
VE2,2010,0.0
MSH,2010,0.0
VDP,2010,0.0
VE1,2010,0.0
VE4,2010,0.0
VE3,2010,0.0
GGG,2010,0.0
VDT,2010,0.0
VE8,2010,0.0
MSN,2010,0.0
ECI,2010,0.0
L10,2010,0.0
VE9,2010,0.0
L12,2010,0.0
L14,2010,0.0
L18,2010,0.0
VEC,2010,0.0
MTC,2010,0.0
MTH,2010,0.0
ILC,2010,0.0
MTG,2010,0.0
GHC,2010,0.0
VES,2010,0.0
MTP,2010,0.0
VFC,2010,0.0
TBC,2010,0.0
VFG,2010,0.0
TBD,2010,0.0
IME,2010,0.0
VFR,2010,0.0
TBR,2010,0.0
CAD,2010,0.0
TBT,2010,0.0
GIL,2010,0.0
TBX,2010,0.0
IMP,2010,0.0
IN4,2010,0.0
L35,2010,0.0
CAN,2010,0.0
CAP,2010,0.0
VGC,2010,0.0
CAT,2010,0.0
VGG,2010,0.0
VGI,2010,0.0
TCJ,2010,0.0
TCL,2010,0.0
VGP,2010,0.0
INC,2010,0.0
TCM,2010,0.0
TCO,2010,0.0
TCR,2010,0.0
ING,2010,0.0
VGS,2010,0.0
TCT,2010,0.0
INN,2010,0.0
L40,2010,0.0
TCW,2010,0.0
L43,2010,0.0
L45,2010,0.0
L44,2010,0.0
VHC,2010,0.0
TDC,2010,0.0
TDB,2010,0.0
VHG,2010,0.0
CC4,2010,0.0
VHF,2010,0.0
TDF,2010,0.0
VHH,2010,0.0
TDH,2010,0.0
KSB,2010,0.0
VHL,2010,0.0
MWG,2010,0.0
KSD,2010,0.0
CCA,2010,0.0
KSH,2010,0.0
TDS,2010,0.0
TDW,2010,0.0
CCI,2010,0.0
CCM,2010,0.0
CCL,2010,0.0
KST,2010,0.0
XMD,2010,0.0
XMC,2010,0.0
VID,2010,0.0
CCP,2010,0.0
VIC,2010,0.0
TED,2010,0.0
VIE,2010,0.0
TEL,2010,0.0
VIN,2010,0.0
RAL,2010,0.0
VIP,2010,0.0
VIR,2010,0.0
VIT,2010,0.0
TET,2010,0.0
CDC,2010,0.0
VIW,2010,0.0
L61,2010,0.0
CDG,2010,0.0
L63,2010,0.0
L62,2010,0.0
KTT,2010,0.0
KTS,2010,0.0
CDN,2010,0.0
GLT,2010,0.0
CDR,2010,0.0
RBC,2010,0.0
GMC,2010,0.0
GMD,2010,0.0
AAA,2010,0.0
EID,2010,0.0
CEG,2010,0.0
AAM,2010,0.0
VKC,2010,0.0
GMX,2010,0.0
RCL,2010,0.0
VKP,2010,0.0
TGP,2010,0.0
TH1,2010,0.0
ABC,2010,0.0
THB,2010,0.0
VLF,2010,0.0
THG,2010,0.0
ABT,2010,0.0
ISG,2010,0.0
THP,2010,0.0
THS,2010,0.0
ISH,2010,0.0
RDP,2010,0.0
ACC,2010,0.0
THT,2010,0.0
ACE,2010,0.0
H11,2010,0.0
ACL,2010,0.0
VMD,2010,0.0
VMC,2010,0.0
CH5,2010,0.0
TIE,2010,0.0
VMG,2010,0.0
CGV,2010,0.0
PAC,2010,0.0
REE,2010,0.0
TIG,2010,0.0
ITA,2010,0.0
ITD,2010,0.0
ITC,2010,0.0
TIP,2010,0.0
PAN,2010,0.0
ELC,2010,0.0
VMS,2010,0.0
CHC,2010,0.0
TIS,2010,0.0
ADC,2010,0.0
TIX,2010,0.0
ITQ,2010,0.0
VNA,2010,0.0
ITS,2010,0.0
VNC,2010,0.0
TJC,2010,0.0
VNE,2010,0.0
CI5,2010,0.0
VNG,2010,0.0
VNF,2010,0.0
PBC,2010,0.0
VNH,2010,0.0
VNM,2010,0.0
VNL,2010,0.0
VNP,2010,0.0
CIA,2010,0.0
VNS,2010,0.0
EME,2010,0.0
VNT,2010,0.0
CID,2010,0.0
PC1,2010,0.0
CIG,2010,0.0
VNX,2010,0.0
CII,2010,0.0
CIP,2010,0.0
VOC,2010,0.0
TKC,2010,0.0
PCF,2010,0.0
PCG,2010,0.0
VOS,2010,0.0
CJC,2010,0.0
TL4,2010,0.0
TKU,2010,0.0
PCT,2010,0.0
VPC,2010,0.0
PDC,2010,0.0
TLG,2010,0.0
PDB,2010,0.0
VPH,2010,0.0
TLI,2010,0.0
TLH,2010,0.0
VPS,2010,0.0
PDN,2010,0.0
TLT,2010,0.0
CKG,2010,0.0
PDR,2010,0.0
AGF,2010,0.0
GSP,2010,0.0
AGM,2010,0.0
AGP,2010,0.0
TMC,2010,0.0
RIC,2010,0.0
CKV,2010,0.0
PEC,2010,0.0
TMG,2010,0.0
AGX,2010,0.0
GTA,2010,0.0
NAG,2010,0.0
TMP,2010,0.0
PEN,2010,0.0
TMT,2010,0.0
CLC,2010,0.0
TMS,2010,0.0
PEQ,2010,0.0
CLH,2010,0.0
PET,2010,0.0
TMX,2010,0.0
CLG,2010,0.0
TMW,2010,0.0
NAS,2010,0.0
CLL,2010,0.0
NAV,2010,0.0
GTT,2010,0.0
TNA,2010,0.0
VRC,2010,0.0
TNC,2010,0.0
TNB,2010,0.0
VRG,2010,0.0
TNG,2010,0.0
CLW,2010,0.0
NBB,2010,0.0
NBE,2010,0.0
PFL,2010,0.0
CMC,2010,0.0
TNS,2010,0.0
CMD,2010,0.0
TNT,2010,0.0
CMG,2010,0.0
CMF,2010,0.0
NBP,2010,0.0
NBW,2010,0.0
