Company_Code,ticker,company_name,sector
BNW,BNW,Công ty cổ phần Nước sạch Bắc Ninh,Nước
BQB,BQB,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Sản xuất bia
MFS,MFS,Công ty cổ phần Dịch vụ kỹ thuật Mobifone,Viễn thông di động
MGG,MGG,Tổng công ty Đức Giang - Công ty cổ phần,Hàng May mặc
DVN,DVN,Tổng công ty Dược Việt Nam - CTCP,Dược phẩm
BSR,BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Sản xuất và Khai thác dầu khí
BTS,BTS,Công ty Cổ phần Xi măng Vicem Bút Sơn,Vật liệu xây dựng & Nội thất
QTP,QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,Sản xuất & Phân phối Điện
SZE,SZE,Công ty cổ phần Môi trường Sonadezi,Chất thải & Môi trường
KLF,KLF,Công ty cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,Dịch vụ giải trí
CAG,CAG,Công ty Cổ phần Cảng An Giang,"Kho bãi, hậu cần và bảo dưỡng"
TCK,TCK,Tổng công ty Cơ khí xây dựng - CTCP,Xây dựng
VGV,VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,Bất động sản
CC1,CC1,Tổng Công ty Xây dựng số 1 - Công ty Cổ phần,Xây dựng
RAT,RAT,Công ty Cổ phần Vận tải và Thương mại Đường Sắt,Dịch vụ vận tải
CEO,CEO,Công ty Cổ phần Tập Đoàn C.E.O,Bất động sản
VLW,VLW,Công ty cổ phần Cấp nước Vĩnh Long,Nước
TID,TID,Công ty cổ phần Tổng công ty Tín Nghĩa,Bất động sản
CHP,CHP,Công ty Cổ phần Thủy điện miền Trung,Sản xuất & Phân phối Điện
VNI,VNI,Công ty Cổ phần Đầu tư bất động sản Việt Nam,Bất động sản
PBP,PBP,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Containers & Đóng gói
VNY,VNY,Công ty cổ phần Thuốc Thú y Trung Ương I,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
NAC,NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Xây dựng
GTD,GTD,Công ty cổ phần Giầy Thượng Đình,Giầy dép
NAP,NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,"Kho bãi, hậu cần và bảo dưỡng"
CLX,CLX,Công ty cổ phần Xuất nhập khẩu và đầu tư Chợ Lớn (Cholimex),Thực phẩm
TNM,TNM,Công ty Cổ phần Xuất nhập khẩu và Xây dựng công trình,Xây dựng
CMI,CMI,Công ty Cổ phần CMISTONE Việt Nam,Vật liệu xây dựng & Nội thất
NBT,NBT,Công ty cổ phần cấp thoát nước Bến Tre,Nước
CNC,CNC,Công ty cổ phần Công nghệ cao Traphaco,Dược phẩm
GVR,GVR,Tập đoàn Công nghiệp Cao su Việt Nam,"Nhựa, cao su & sợi"
NDC,NDC,Công ty Cổ phần Nam dược,Dược phẩm
PLX,PLX,Tập đoàn Xăng dầu Việt Nam,Sản xuất và Khai thác dầu khí
CSV,CSV,Công ty Cổ phần hóa chất cơ bản Miền Nam,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
PMP,PMP,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Containers & Đóng gói
S4A,S4A,Công ty Cổ phần Thủy điện Sê San 4A,Sản xuất & Phân phối Điện
RTB,RTB,Công ty cổ phần Cao su Tân Biên,"Nhựa, cao su & sợi"
