Company_Code,ticker,company_name,sector
CE1,CE1,CTCP Xây dựng và Thiết bị Công nghiệp CIE1,Máy công nghiệp
KTW,KTW,CTCP Cấp nước Kon Tum,Nước
TGG,TGG,Công ty cổ phần Louis Capital,Xây dựng
ACS,ACS,Công ty Cổ phần Xây lắp Thương mại 2,Xây dựng
PAS,PAS,CÔNG TY CỔ PHẦN QUỐC TẾ PHƯƠNG ANH,Thép và sản phẩm thép
EMS,EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - Công ty Cổ phần,Chuyển phát nhanh
PCC,PCC,Công ty cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Xây dựng
PCM,PCM,Công ty Cổ phần Vật liệu xây dựng Bưu Điện,Vật liệu xây dựng & Nội thất
TLD,TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Vật liệu xây dựng & Nội thất
VPI,VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest,Bất động sản
VPW,VPW,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,Nước
TNH,TNH,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Chăm sóc y tế
TNW,TNW,Công ty Cổ phần Nước sạch Thái Nguyên,Nước
VSM,VSM,Công ty Cổ phần Container Miền Trung,"Kho bãi, hậu cần và bảo dưỡng"
ND2,ND2,Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,Sản xuất & Phân phối Điện
VTQ,VTQ,Công ty cổ phần Việt Trung Quảng Bình,"Nhựa, cao su & sợi"
TQN,TQN,Công ty Cổ phần Thông Quảng Ninh,Lâm sản và Chế biến gỗ
CQT,CQT,Công Ty Cổ Phần Xi Măng Quán Triều VVMI,Vật liệu xây dựng & Nội thất
CRC,CRC,Công ty Cổ phần Create Capital Việt Nam,Vật liệu xây dựng & Nội thất
NHH,NHH,Công ty Cổ phần Nhựa Hà Nội,"Nhựa, cao su & sợi"
TTN,TTN,Công ty Cổ phần Công nghệ và Truyền thông Việt Nam,Viễn thông cố định
VXP,VXP,CÔNG TY CỔ PHẦN THUỐC THÚ Y TRUNG ƯƠNG VETVACO,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
NHP,NHP,Công ty Cổ phần sản xuất xuất nhập khẩu NHP,Containers & Đóng gói
CTF,CTF,Công ty Cổ phần City Auto,Sản xuất ô tô
CTP,CTP,CÔNG TY CỔ PHẦN MINH KHANG CAPITAL TRADING PUBLIC,Đồ uống & giải khát
TW3,TW3,Công ty Cổ phần Dược Trung Ương 3,Dược phẩm
LG9,LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,Xây dựng
POB,POB,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Phân phối xăng dầu & khí đốt
NLS,NLS,Công ty cổ phần Cấp thoát nước Lạng Sơn,Nước
LIC,LIC,Tổng Công ty LICOGI - CTCP,Xây dựng
HAF,HAF,Công ty cổ phần Thực phẩm Hà Nội,Thực phẩm
ATS,ATS,Công ty Cổ phần Tập đoàn dược phẩm Atesco,Nhà hàng và quán bar
NQB,NQB,Công ty Cổ phần Cấp nước Quảng Bình,Nước
HEP,HEP,Công ty cổ phần Môi trường và Công trình đô thị Huế,Chất thải & Môi trường
NS2,NS2,Công ty Cổ phần Nước sạch số 2 Hà Nội,Nước
NUE,NUE,Công ty cổ phần Môi trường Đô thị Nha Trang,Chất thải & Môi trường
HII,HII,Công ty Cổ phần An Tiến Industries,"Nhựa, cao su & sợi"
NWT,NWT,Công ty Cổ phần Vận tải Newway,Vận tải hành khách & Du lịch
SAS,SAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Phân phối hàng chuyên dụng
FHN,FHN,Công ty cổ phần Xuất nhập khẩu Lương thực - Thực phẩm Hà Nội,Phân phối thực phẩm
SBH,SBH,Công ty Cổ phần Thủy điện Sông Ba Hạ,Sản xuất & Phân phối Điện
SBL,SBL,Công ty cổ phần Bia Sài Gòn - Bạc Liêu,Sản xuất bia
SGN,SGN,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,"Kho bãi, hậu cần và bảo dưỡng"
HSV,HSV,Công ty Cổ phần Gang thép Hà Nội,Thép và sản phẩm thép
HTN,HTN,Công ty cổ phần Hưng Thịnh Incons,Bất động sản
BHK,BHK,Công ty cổ phần Bia Hà Nội - Kim Bài,Sản xuất bia
BIO,BIO,Công ty cổ phần Vắc Xin và Sinh phẩm Nha Trang,Dược phẩm
G36,G36,Tổng công ty 36 - CTCP,Xây dựng
DNN,DNN,Công ty Cổ phần Cấp nước Đà Nẵng,Nước
QHW,QHW,Công ty Cổ phần nước khoáng Quảng Ninh,Đồ uống & giải khát
DP2,DP2,Công ty Cổ phần Dược phẩm Trung ương 2,Dược phẩm
BMF,BMF,Công ty Cổ phần Vật liệu xây dựng và Chất đốt Đồng Nai,Phân phối xăng dầu & khí đốt
BMG,BMG,Công ty Cổ phần May Bình Minh,Hàng May mặc
MCM,MCM,CÔNG TY CỔ PHẦN GIỐNG BÒ SỮA MỘC CHÂU,Thực phẩm
DTD,DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Bất động sản
MES,MES,Công ty Cổ phần Cơ điện Công trình,Xây dựng
MGC,MGC,Công ty cổ phần Địa chất mỏ - TKV,Khai khoáng
BRR,BRR,Công ty Cổ phần Cao su Bà Rịa,"Nhựa, cao su & sợi"
BSH,BSH,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Sản xuất bia
BTU,BTU,Công ty cổ phần Công trình Đô thị Bến Tre,Chất thải & Môi trường
A32,A32,Công ty cổ phần 32,Giầy dép
MML,MML,Công ty Cổ phần Masan MEATLife,Thực phẩm
MND,MND,Công ty Cổ phần Môi trường Nam Định,Chất thải & Môi trường
MQN,MQN,Công ty Cổ phần Môi trường đô thị Quảng Ngãi,Chất thải & Môi trường
ILB,ILB,Công ty Cổ phần ICD Tân Cảng – Long Bình,"Kho bãi, hậu cần và bảo dưỡng"
TAR,TAR,Công ty cổ phần Nông nghiệp Công nghệ cao Trung An,Nuôi trồng nông & hải sản
TBH,TBH,Công ty Cổ phần Tổng Bách Hóa,"Kho bãi, hậu cần và bảo dưỡng"
TDP,TDP,Công ty Cổ phần Thuận Đức,Containers & Đóng gói
TDT,TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,Hàng May mặc
KTC,KTC,Công ty Cổ phần Thương mại Kiên Giang,Thực phẩm
GLC,GLC,Công ty cổ phần Vàng Lào Cai,Khai thác vàng
ABS,ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
THW,THW,Công ty cổ phần cấp nước Tân Hòa,Nước
IST,IST,Công ty cổ phần ICD Tân Cảng Sóng Thần,"Kho bãi, hậu cần và bảo dưỡng"
CK8,CK8,Công ty Cổ phần Cơ Khí 120,Bất động sản
AGG,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Bất động sản
VQC,VQC,Công ty Cổ phần Giám định Vinacomin,Tư vấn & Hỗ trợ KD
TN1,TN1,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TNS HOLDINGS,Bất động sản
TNP,TNP,Công ty cổ phần Cảng Thị Nại,"Kho bãi, hậu cần và bảo dưỡng"
CMK,CMK,Công ty Cổ phần cơ khí Mạo Khê - Vinacomin,Máy công nghiệp
TOP,TOP,Công ty Cổ phần Phân phối Top One,Bán lẻ phức hợp
PGN,PGN,Công ty cổ phần Phụ Gia Nhựa,"Nhựa, cao su & sợi"
VTM,VTM,Công ty cổ phần Vận Tải và đưa đón thợ mỏ - Vinacomin,Vận tải hành khách & Du lịch
NDW,NDW,Công ty Cổ phần Cấp nước Nam Định,Nước
TRS,TRS,Công ty Cổ phần Vận tải và Dịch vụ Hàng hải,Vận tải Thủy
CST,CST,Công ty cổ phần Than Cao Sơn - TKV,Khai thác Than
PNP,PNP,Công ty Cổ phần Tân Cảng - Phú Hữu,Vận tải Thủy
ASG,ASG,Cổ phiếu Công ty Cổ phần Tập đoàn ASG,"Kho bãi, hậu cần và bảo dưỡng"
AST,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Phân phối hàng chuyên dụng
YBM,YBM,Công ty cổ phần Khoáng sản công nghiệp Yên Bái,Khai khoáng
HCD,HCD,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,"Nhựa, cao su & sợi"
LMC,LMC,Công ty cổ phần Khoáng sản Latca,Khai khoáng
NQN,NQN,Công ty Cổ phần Nước sạch Quảng Ninh,Nước
PWS,PWS,Công ty Cổ phần Cấp thoát nước Phú Yên,Nước
HHP,HHP,Công ty cổ phần Giấy Hoàng Hà Hải Phòng,Sản xuất giấy
UCT,UCT,Công ty cổ phần Đô thị Cần Thơ,Chất thải & Môi trường
HLT,HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan,Hàng May mặc
BKG,BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Thiết bị gia dụng
SMN,SMN,Công ty Cổ phần sách và thiết bị giáo dục miền Nam,"Sách, ấn bản & sản phẩm văn hóa"
BMD,BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Chất thải & Môi trường
MBN,MBN,Công ty cổ phần Môi trường và Công trình đô thị Bắc Ninh,Chất thải & Môi trường
USC,USC,Công ty Cổ phần Khảo sát và Xây dựng - USCO,Xây dựng
BMV,BMV,Công ty Cổ phần Bột mỳ Vinafood 1,Thực phẩm
DUS,DUS,CÔNG TY CỔ PHẦN DỊCH VỤ ĐÔ THỊ ĐÀ LẠT,Chất thải & Môi trường
DWS,DWS,Công ty Cổ phần Cấp nước và Môi trường đô thị Đồng Tháp,Nước
BTN,BTN,Công ty cổ phần Gạch Tuy Nen Bình Định,Vật liệu xây dựng & Nội thất
BWE,BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Nước
GAB,GAB,Công ty Cổ phần Đầu tư khai khoáng và Quản lý tài sản FLC,Vật liệu xây dựng & Nội thất
SZG,SZG,Công ty Cổ phần Sonadezi Giang Điền,Bất động sản
MQB,MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Chất thải & Môi trường
KOS,KOS,Công ty cổ phần Kosy,Bất động sản
ILA,ILA,Công ty Cổ phần ILA,Vật liệu xây dựng & Nội thất
TB8,TB8,Công ty cổ phần Sản xuất và kinh doanh Vật tư Thiết bị - VVMI,Containers & Đóng gói
MTS,MTS,Công ty Cổ phần Vật tư - TKV,Nhà cung cấp thiết bị
VGL,VGL,Công ty cổ phần Mạ kẽm công nghiệp Vingal - Vnsteel,Thép và sản phẩm thép
VHE,VHE,Công ty cổ phần Dược liệu và Thực phẩm Việt Nam,Dược phẩm
GLW,GLW,Công ty Cổ phần Cấp thoát nước Gia Lai,Nước
VMA,VMA,Công ty Cổ phần Công nghiệp Ô tô – Vinacomin,Sản xuất ô tô
VNB,VNB,Công ty cổ phần Sách Việt Nam,"Sách, ấn bản & sản phẩm văn hóa"
AG1,AG1,Công ty Cổ phần 28.1,Hàng May mặc
CKA,CKA,Công ty cổ phần Cơ Khí An Giang,Máy công nghiệp
EPC,EPC,CTCP Cà phê Ea Pốk,Thực phẩm
NAW,NAW,Công ty Cổ phần Cấp nước Nghệ An,Nước
CMW,CMW,Công ty Cổ phần cấp nước Cà Mau,Nước
TOW,TOW,Công ty cổ phần Cấp nước Trà Nóc - Ô Môn,Nước
TR1,TR1,Công ty Cổ phần Vận tải 1 Traco,"Kho bãi, hậu cần và bảo dưỡng"
CPA,CPA,Công ty Cổ phần Cà phê Phước An,Đồ uống & giải khát
TSG,TSG,Công ty Cổ phần Thông tin Tín hiệu Đường sắt Sài Gòn,Đường sắt
CRE,CRE,Công ty Cổ phần Bất động sản Thế kỷ,Bất động sản
APH,APH,Công ty cổ phần Tập đoàn An Phát Holdings,Containers & Đóng gói
NJC,NJC,Công ty Cổ phần May Nam Định,Hàng May mặc
TVH,TVH,Công ty Cổ phần Tư vấn và Xây dựng công trình Hàng Hải,Xây dựng
PQN,PQN,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,"Kho bãi, hậu cần và bảo dưỡng"
PSH,PSH,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,Phân phối xăng dầu & khí đốt
PSN,PSN,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,"Kho bãi, hậu cần và bảo dưỡng"
HDW,HDW,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương,Nước
LMH,LMH,Công ty cổ phần quốc tế Holding,Bất động sản
NRC,NRC,Công ty Cổ phần Tập đoàn Danh Khôi,Bất động sản
NTH,NTH,Công ty cổ phần Thủy điện Nước trong,Sản xuất & Phân phối Điện
HMR,HMR,Công ty cổ phần Đá Hoàng Mai,Vật liệu xây dựng & Nội thất
HNA,HNA,Công ty cổ phần Thủy điện Hủa Na,Sản xuất & Phân phối Điện
DFF,DFF,Công ty Cổ phần Tập đoàn đua FAT,Xây dựng
BBM,BBM,Công ty Cổ phần Bia Hà Nội - Nam Định,Sản xuất bia
HPM,HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,Khai khoáng
BHG,BHG,Công ty Cổ phần Chè Biển Hồ,Đồ uống & giải khát
FTI,FTI,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,Phụ tùng ô tô
E29,E29,Công ty Cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Xây dựng
USD,USD,Công ty cổ phần Công trình Đô thị Sóc Trăng,Chất thải & Môi trường
BNA,BNA,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,Thực phẩm
DRG,DRG,Công ty Cổ phần cao su Đắk Lắk,"Nhựa, cao su & sợi"
DSD,DSD,CÔNG TY CỔ PHẦN DHC SUỐI ĐÔI,Dịch vụ giải trí
MEL,MEL,Công ty Cổ phần Thép Mê Lin,Thép và sản phẩm thép
DVM,DVM,Công ty Cổ phần dược liệu Việt Nam,Dược phẩm
STH,STH,Công ty cổ phần phát hành sách Thái Nguyên,"Sách, ấn bản & sản phẩm văn hóa"
STW,STW,Công ty cổ phần Cấp nước Sóc Trăng,Nước
DXS,DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,"Tư Vấn, Định giá, Môi giới Bất động sản"
SVD,SVD,Công ty Cổ phần Đầu tư và Thương mại Vũ Đăng,Hàng May mặc
IDP,IDP,CÔNG TY CỔ PHẦN SỮA QUỐC TẾ,Thực phẩm
GIC,GIC,Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,"Kho bãi, hậu cần và bảo dưỡng"
TEG,TEG,Công ty Cổ phần Năng lượng và Bất động sản Trường Thành,Bất động sản
GMA,GMA,Công ty Cổ phần Enteco Việt Nam,Sản xuất ô tô
XPH,XPH,Công ty Cổ phần Xà phòng Hà Nội,Hàng cá nhân
GPC,GPC,Công ty Cổ phần Tập đoàn Green+,Dược phẩm
TKG,TKG,CTCP Sản xuất và Thương mại Tùng Khánh (TKG),Đồ gia dụng lâu bền
PCH,PCH,PICOMAT,"Nhựa, cao su & sợi"
NCG,NCG,Công ty cổ phần Tập đoàn Nova Consumer,Nuôi trồng nông & hải sản
VTZ,VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,"Nhựa, cao su & sợi"
TQW,TQW,Công ty Cổ phần Cấp thoát nước Tuyên Quang,Nước
TS3,TS3,Công ty cổ phần Trường Sơn 532,Xây dựng
TSD,TSD,Công ty Cổ phần Du lịch Trường Sơn COECCO,Vận tải hành khách & Du lịch
TSJ,TSJ,Công ty Cổ phần Du lịch Dịch vụ Hà Nội,Vận tải hành khách & Du lịch
TTA,TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,Sản xuất & Phân phối Điện
LDW,LDW,Công ty cổ phần Cấp thoát nước Lâm Đồng,Nước
API,API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Bất động sản
S72,S72,Công ty cổ phần Sông Đà 7.02,Xây dựng
NO1,NO1,CTCP Tập đoàn 911,Máy công nghiệp
LNC,LNC,Công ty cổ phần Lệ Ninh,"Nhựa, cao su & sợi"
BAF,BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Nuôi trồng nông & hải sản
FIR,FIR,Công ty Cổ phần Địa ốc First Real,Bất động sản
BCB,BCB,Công ty cổ phần 397,Khai thác Than
SGI,SGI,Công ty cổ phần Đầu tư Phát triển Sài Gòn 3 Group,Hàng May mặc
BIG,BIG,Công ty Cổ phần Big Invest Group,Nuôi trồng nông & hải sản
SKH,SKH,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa,Đồ uống & giải khát
FRT,FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,Phân phối hàng chuyên dụng
SSH,SSH,Công ty Cổ phần phát triển Sunshine Homes,Bất động sản
DWC,DWC,Công ty Cổ phần Cấp nước Đắk Lắk,Nước
BVL,BVL,Công ty Cổ phần BV Land,"Tư Vấn, Định giá, Môi giới Bất động sản"
GEE,GEE,Công ty cổ phần Thiết bị điện GELEX,Thiết bị điện
VDB,VDB,Công ty cổ phần Vận tải và Chế biến Than Đông Bắc,Khai thác Than
MST,MST,Công ty cổ phần đầu tư MST,Xây dựng
EIC,EIC,Công ty Cổ phần EVN Quốc tế,Xây dựng
AAH,AAH,Công ty Cổ phần Hợp Nhất,Khai thác Than
ACG,ACG,Công ty Cổ phần Gỗ An Cường,Lâm sản và Chế biến gỗ
TOS,TOS,Công ty Cổ phần Dịch vụ biển Tân Cảng,Thiết bị và Dịch vụ Dầu khí
TPS,TPS,Công ty Cổ phần Bến bãi vận tải Sài Gòn,Vận tải hành khách & Du lịch
TTH,TTH,Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành,Thép và sản phẩm thép
TV6,TV6,Công ty Cổ phần Thương mại Đầu tư xây lắp điện Thịnh Vượng,"Tư Vấn, Định giá, Môi giới Bất động sản"
HBC,HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Xây dựng
NXT,NXT,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,Vật liệu xây dựng & Nội thất
BCA,BCA,Công ty cổ phần B.C.H,Thép và sản phẩm thép
BCR,BCR,Công ty Cổ phần BCG Land,Xây dựng
SED,SED,Công ty Cổ phần Đầu tư và Phát triển giáo dục Phương Nam,"Sách, ấn bản & sản phẩm văn hóa"
SHE,SHE,Công ty cổ phần Phát triển năng lượng Sơn Hà,Đồ gia dụng lâu bền
UMC,UMC,Công ty Cổ phần Công trình đô thị Nam Định,Xây dựng
DTE,DTE,Công ty cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Sản xuất & Phân phối Điện
DVG,DVG,CTCP TẬP ĐOÀN SƠN ĐẠI VIỆT,Vật liệu xây dựng & Nội thất
MGR,MGR,CTCP Tập đoàn Mgroup,Bất động sản
GCF,GCF,Công ty cổ phần Thực phẩm G.C,Thực phẩm
TBW,TBW,Công ty cổ phần Nước sạch Thái Bình,Nước
KSF,KSF,CTCP Tập đoàn Real Tech,Bất động sản
XMP,XMP,Công ty cổ phần thủy điện Xuân Minh,Sản xuất & Phân phối Điện
CEN,CEN,Công ty Cổ phần CENCON Việt Nam,Bán lẻ phức hợp
CFM,CFM,Công ty cổ phần Đầu tư CFM,Đào tạo & Việc làm
ABR,ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Tư vấn & Hỗ trợ KD
THD,THD,CÔNG TY CỔ PHẦN THAIHOLDINGS,"Tư Vấn, Định giá, Môi giới Bất động sản"
ADG,ADG,Công ty Cổ phần Clever Group,Dịch vụ truyền thông
CMM,CMM,CTCP Camimex,Thực phẩm
CNA,CNA,Công ty TNHH MTV Đầu tư phát triển Chè Nghệ An,Nuôi trồng nông & hải sản
VWS,VWS,Công ty Cổ phần Nước và Môi trường Việt Nam,Nước
PWA,PWA,Công ty Cổ phần Bất động sản Dầu khí,Bất động sản
LPT,LPT,Công ty cổ phần Thương mại và Sản xuất Lập Phương Thành,Đào tạo & Việc làm
SBG,SBG,Công ty Cổ phần Tập đoàn Cơ khí Công nghệ cao Siba,Công nghiệp phức hợp
SCG,SCG,CÔNG TY CỔ PHẦN XÂY DỰNG SCG,Xây dựng
DKC,DKC,Công ty Cổ phần Chợ Lạng Sơn,Bán lẻ phức hợp
DNE,DNE,Công ty cổ phần Môi trường Đô thị Đà Nẵng,Chất thải & Môi trường
C22,C22,Công ty Cổ phần 22,Thực phẩm
TAN,TAN,Công ty TNHH Một thành viên Cà phê Thuận An,Đồ uống & giải khát
VMK,VMK,Công ty cổ phần Vimarko,Vật liệu xây dựng & Nội thất
VTD,VTD,Công ty Cổ phần Du lịch Vietourist,Vận tải hành khách & Du lịch
D17,D17,CTCP Đồng Tân,Vật liệu xây dựng & Nội thất
VVS,VVS,CTCP Đầu tư phát triển máy Việt Nam (VVS – VIMID),Phân phối hàng chuyên dụng
TSA,TSA,Công ty Cổ phần Đầu tư và Xây lắp Trường Sơn,Xây dựng
TT6,TT6,Công ty cổ phần Tập đoàn Tiến Thịnh,Thực phẩm
VXT,VXT,Công ty Cổ phần Kho vận và Dịch vụ thương mại,Nhà cung cấp thiết bị
AVG,AVG,Công ty Cổ phần Phân bón Quốc tế Âu Việt,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BCO,BCO,CTCP Xây dựng Bình Phước,Vật liệu xây dựng & Nội thất
BCV,BCV,Công ty Cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Khách sạn
HSL,HSL,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THỰC PHẨM HỒNG HÀ,Thực phẩm
KHG,KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Bất động sản
VAF,VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
TAL,TAL,Công ty Cổ phần Đầu tư Bất động sản Taseco,Bất động sản
CCC,CCC,CÔNG TY CỔ PHẦN XÂY DỰNG CDC,Xây dựng
THM,THM,Công ty Cổ phần Tứ Hải Hà Nam,Hàng May mặc
PBT,PBT,Công ty Cổ phần Nhà và Thương mại Dầu khí,Containers & Đóng gói
HIO,HIO,Công ty cổ phần Helio Energy,Sản xuất & Phân phối Điện
